:Issued: Fri May  2 02:12:07 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/03/31  00:00:07.479 23838771.fts
  last  c2: 2025/05/01  23:48:07.396 23842421.fts
  first c3: 2025/03/31  00:06:07.375 33826853.fts
  last  c3: 2025/05/01  23:30:07.609 33830457.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0167|2025/04/30 04:36| 01 | 195| 012| 0336| 0124| 0325| 0558|    
  0166|2025/04/30 03:12| 01 | 036| 006| 0363| 0178| 0148| 0588|    
  0165|2025/04/30 00:24| 01 | 254| 006| 0961| 0448| 0548| 1644|    
  0164|2025/04/30 00:24| 04 | 040| 026| 0500| 0194| 0306| 1008|    
  0163|2025/04/29 23:36| 03 | 223| 036| 1202| 0448| 0411| 1953|    
  0162|2025/04/29 11:36| 01 | 034| 006| 0317| 0009| 0303| 0325|    
  0161|2025/04/29 06:24| 01 | 278| 006| 0332| 0019| 0300| 0343|    
  0160|2025/04/29 06:00| 01 | 286| 014| 0558| 0096| 0504| 0781|    
  0159|2025/04/28 23:12| 00 | 351| 020| 0262| 0026| 0200| 0294|    
  0158|2025/04/28 12:00| 06 | 336| 062| 0153| 0037| 0098| 0232|    
  0157|2025/04/28 08:12| 02 | 190| 022| 0330| 0217| 0098| 0892|    
  0156|2025/04/28 00:00| 01 | 056| 010| 0279| 0029| 0231| 0303|    
  0155|2025/04/27 16:48| 01 | 086| 010| 0628| 0363| 0303| 1302|    
  0154|2025/04/26 18:36| 02 | 212| 018| 0608| 0273| 0150| 1041|    
  0153|2025/04/26 13:48| 03 | 032| 018| 0128| 0076| 0100| 0325|    
  0152|2025/04/26 08:00| 02 | 104| 010| 0781| 0104| 0600| 0919|    
  0151|2025/04/26 07:36| 01 | 093| 012| 0600| 0121| 0376| 0744|    
  0150|2025/04/26 07:24| 02 | 259| 064| 0419| 0113| 0292| 0664|    
  0149|2025/04/24 14:00| 01 | 191| 012| 0989| 0544| 0624| 1953|    
  0148|2025/04/24 13:36| 01 | 091| 012| 0664| 0333| 0276| 1250|    
  0147|2025/04/24 12:48| 01 | 099| 008| 0756| 0074| 0665| 0868|    
  0146|2025/04/24 09:24| 01 | 282| 006| 0428| 0071| 0347| 0520|    
  0145|2025/04/24 06:36| 02 | 269| 036| 0589| 0561| 0204| 1953|    
  0144|2025/04/24 06:12| 02 | 328| 022| 0483| 0058| 0390| 0589|    
  0143|2025/04/24 06:12| 03 | 302| 070| 0496| 0161| 0178| 0781|    
  0142|2025/04/24 04:12| 02 | 088| 014| 0463| 0302| 0347| 1201|    
  0141|2025/04/24 00:36| 01 | 294| 006| 0109| 0058| 0099| 0225|    
  0140|2025/04/24 00:12| 02 | 104| 018| 0556| 0202| 0285| 0951|    
  0139|2025/04/23 17:12| 01 | 231| 012| 0192| 0029| 0161| 0240|    
  0138|2025/04/23 12:00| 01 | 088| 010| 0635| 0092| 0466| 0696|    
  0137|2025/04/23 11:12| 01 | 279| 008| 0466| 0256| 0157| 0833|    
  0136|2025/04/23 11:00| 03 | 196| 014| 0323| 0210| 0155| 0784|    
  0135|2025/04/23 10:36| 02 | 273| 012| 0201| 0626| 0099| 1488|    
  0134|2025/04/23 09:24| 02 | 101| 008| 0361| 0086| 0218| 0452|    
  0133|2025/04/23 07:48| 05 | 230| 082| 0268| 0062| 0145| 0398|    
  0132|2025/04/23 05:12| 01 | 094| 006| 0579| 0031| 0538| 0624|    
  0131|2025/04/23 05:12| 01 | 266| 006| 0285| 0102| 0178| 0440|    
  0130|2025/04/22 22:36| 01 | 094| 006| 0541| 0085| 0488| 0694|    
  0129|2025/04/22 22:00| 01 | 047| 016| 0250| 0006| 0241| 0260|    
  0128|2025/04/22 19:12| 01 | 038| 038| 0447| 0142| 0200| 0651|    
  0127|2025/04/22 17:36| 01 | 028| 038| 0198| 0027| 0131| 0220|    
  0126|2025/04/22 16:48| 02 | 345| 016| 0403| 0167| 0281| 0811|    
  0125|2025/04/22 12:48| 01 | 287| 024| 0277| 0680| 0201| 1644|    
  0124|2025/04/22 10:24| 03 | 268| 070| 0606| 0319| 0306| 1488|    
  0123|2025/04/22 10:12| 04 | 054| 050| 0244| 0089| 0164| 0462|    
  0122|2025/04/22 09:36| 01 | 189| 008| 1077| 0499| 0512| 1953|    
  0121|2025/04/22 08:36| 02 | 180| 042| 1179| 0124| 0892| 1388|    
  0120|2025/04/22 04:24| 01 | 110| 010| 0825| 0275| 0395| 1157|    
  0119|2025/04/22 01:36| 01 | 116| 014| 0289| 0059| 0211| 0385|    
  0118|2025/04/21 23:24| 01 | 339| 008| 0224| 0057| 0127| 0248|    
  0117|2025/04/21 23:24| 03 | 327| 024| 0260| 0034| 0197| 0282|    
  0116|2025/04/21 21:36| 02 | 262| 010| 0257| 0044| 0173| 0300|    
  0115|2025/04/21 14:51| 03 | 264| 034| 0341| 0093| 0178| 0508|    
  0114|2025/04/21 10:24| 01 | 261| 028| 0367| 0048| 0284| 0459|    
  0113|2025/04/20 21:48| 04 | 287| 096| 0242| 0049| 0150| 0357|  II
  0112|2025/04/20 10:48| 02 | 134| 046| 0256| 0098| 0217| 0600|    
  0111|2025/04/20 09:36| 01 | 122| 022| 0238| 0036| 0179| 0312|    
  0110|2025/04/20 07:12| 01 | 121| 008| 0180| 0023| 0150| 0217|    
  0109|2025/04/20 05:12| 01 | 278| 006| 0309| 0065| 0218| 0376|    
  0108|2025/04/19 17:00| 02 | 174| 042| 0328| 0343| 0206| 1157|    
  0107|2025/04/19 15:24| 01 | 336| 010| 0309| 0182| 0244| 0702|    
  0106|2025/04/19 14:24| 01 | 095| 008| 0393| 0052| 0303| 0443|    
  0105|2025/04/19 00:00| 01 | 175| 012| 0844| 0246| 0336| 1077|    
  0104|2025/04/19 00:00| 02 | 158| 098| 0512| 0174| 0218| 0801|  II
  0103|2025/04/18 19:36| 02 | 153| 036| 0286| 0110| 0158| 0558|    
  0102|2025/04/17 21:36| 01 | 163| 020| 0200| 0142| 0114| 0473|    
  0101|2025/04/17 15:12| 00 | 035| 012| 0536| 0068| 0496| 0672|    
  0100|2025/04/17 05:00| 01 | 286| 010| 0200| 0042| 0126| 0255|    
  0099|2025/04/17 04:12| 01 | 158| 022| 0230| 0028| 0173| 0255|    
  0098|2025/04/17 00:48| 02 | 273| 028| 0456| 0141| 0248| 0735|    
  0097|2025/04/16 04:36| 01 | 305| 008| 0245| 0027| 0191| 0259|    
  0096|2025/04/15 23:48| 03 | 093| 024| 0574| 0094| 0428| 0735|    
  0095|2025/04/15 19:24| 01 | 100| 006| 0528| 0223| 0428| 0957|    
  0094|2025/04/15 15:48| 02 | 183| 012| 0217| 0083| 0146| 0381|    
  0093|2025/04/15 14:48| 04 | 089| 036| 0679| 0185| 0422| 1041|    
  0092|2025/04/15 13:36| 01 | 079| 008| 1430| 0288| 1250| 1953|    
  0091|2025/04/15 02:36| 01 | 073| 012| 1358| 0319| 0919| 1953|    
  0090|2025/04/15 01:25| 02 | 257| 016| 1008| 0603| 0512| 1953|    
  0089|2025/04/14 22:36| 03 | 170| 038| 0357| 0184| 0123| 0781|    
  0088|2025/04/14 22:24| 02 | 217| 020| 0835| 0123| 0694| 1116|    
  0087|2025/04/14 18:36| 02 | 091| 028| 0584| 0307| 0260| 1249|    
  0086|2025/04/14 16:48| 02 | 082| 014| 1368| 0363| 0801| 2016|    
  0085|2025/04/14 15:12| 02 | 129| 012| 1139| 0181| 1041| 1488|    
  0084|2025/04/14 15:00| 02 | 190| 034| 0735| 0465| 0104| 1838|    
  0083|2025/04/14 13:48| 00 | 330| 014| 0639| 0239| 0280| 0976|    
  0082|2025/04/14 07:00| 02 | 125| 008| 1689| 0737| 0538| 1953|    
  0081|2025/04/14 03:24| 01 | 196| 006| 1953| 0178| 1644| 1953|    
  0080|2025/04/13 19:36| 01 | 110| 006| 0723| 0154| 0637| 1008|    
  0079|2025/04/13 17:48| 01 | 039| 020| 0440| 0632| 0233| 1953|    
  0078|2025/04/13 14:36| 02 | 183| 012| 0312| 0140| 0159| 0600|    
  0077|2025/04/13 11:48| 01 | 304| 010| 0192| 0024| 0159| 0229|    
  0076|2025/04/13 07:00| 06 | 175| 228| 0416| 0098| 0150| 0637| III
  0075|2025/04/12 23:36| 04 | 146| 094| 0258| 0020| 0221| 0303|  II
  0074|2025/04/12 17:00| 01 | 186| 022| 0403| 0408| 0232| 1485|    
  0073|2025/04/12 16:24| 02 | 202| 066| 0365| 0168| 0157| 0868|    
  0072|2025/04/12 11:00| 01 | 200| 042| 0416| 0084| 0244| 0558|    
  0071|2025/04/12 08:48| 01 | 272| 014| 0127| 0015| 0109| 0154|    
  0070|2025/04/12 07:36| 02 | 203| 028| 0300| 0090| 0187| 0492|    
  0069|2025/04/12 03:36| 03 | 203| 032| 0372| 0139| 0174| 0679|    
  0068|2025/04/12 01:48| 06 | 303| 076| 0143| 0056| 0107| 0355|    
  0067|2025/04/11 23:12| 02 | 195| 052| 0261| 0088| 0173| 0520|    
  0066|2025/04/11 23:00| 02 | 198| 010| 0784| 0616| 0286| 1644|    
  0065|2025/04/11 21:48| 02 | 043| 056| 0694| 0301| 0339| 1562|    
  0064|2025/04/11 18:36| 04 | 200| 010| 0425| 0012| 0405| 0434|    
  0063|2025/04/11 18:12| 02 | 322| 042| 0186| 0062| 0106| 0325|    
  0062|2025/04/11 12:00| 01 | 253| 016| 1041| 0498| 0332| 1854|    
  0061|2025/04/10 21:36| 01 | 207| 008| 0701| 0219| 0359| 0889|    
  0060|2025/04/10 21:24| 01 | 246| 006| 0294| 0082| 0214| 0416|    
  0059|2025/04/10 20:48| 02 | 072| 010| 0172| 0103| 0140| 0400|    
  0058|2025/04/10 20:48| 01 | 272| 010| 0796| 0197| 0359| 0886|    
  0057|2025/04/10 15:36| 05 | 041| 080| 0228| 0084| 0114| 0400|    
  0056|2025/04/09 23:24| 01 | 230| 010| 0871| 0481| 0255| 1488|    
  0055|2025/04/09 23:24| 01 | 083| 028| 0272| 0055| 0176| 0390|    
  0054|2025/04/09 21:12| 01 | 357| 016| 0264| 0032| 0201| 0309|    
  0053|2025/04/09 10:36| 01 | 161| 012| 0292| 0157| 0124| 0568|    
  0052|2025/04/09 05:36| 01 | 024| 038| 0447| 0413| 0281| 1420|    
  0051|2025/04/08 23:48| 01 | 215| 012| 0315| 0584| 0181| 1488|    
  0050|2025/04/08 20:24| 02 | 047| 052| 0323| 0100| 0191| 0538|    
  0049|2025/04/08 15:12| 01 | 067| 012| 0459| 0087| 0425| 0651|    
  0048|2025/04/08 10:00| 01 | 242| 014| 0443| 0051| 0343| 0504|    
  0047|2025/04/08 07:48| 02 | 079| 020| 0868| 0145| 0589| 1008|    
  0046|2025/04/08 06:36| 01 | 031| 036| 0536| 0186| 0315| 1041|    
  0045|2025/04/08 05:48| 02 | 097| 084| 1096| 0407| 0284| 1736|    
  0044|2025/04/07 23:48| 01 | 032| 018| 0330| 0696| 0178| 1838|    
  0043|2025/04/07 23:36| 01 | 029| 024| 0254| 0120| 0106| 0400|    
  0042|2025/04/07 18:48| 02 | 037| 008| 0279| 0020| 0249| 0306|    
  0041|2025/04/07 16:24| 01 | 041| 020| 0245| 0111| 0162| 0434|    
  0040|2025/04/07 12:36| 01 | 076| 006| 0768| 0383| 0452| 1420|    
  0039|2025/04/07 11:48| 03 | 070| 030| 0481| 0095| 0312| 0686|    
  0038|2025/04/07 11:00| 01 | 068| 014| 0383| 0109| 0220| 0512|    
  0037|2025/04/07 05:12| 01 | 085| 008| 0578| 0217| 0201| 0718|    
  0036|2025/04/07 04:24| 02 | 208| 034| 0325| 0332| 0203| 1249|    
  0035|2025/04/07 00:36| 02 | 066| 010| 0497| 0158| 0280| 0710|    
  0034|2025/04/06 23:00| 01 | 233| 008| 1488| 0614| 0422| 1953|    
  0033|2025/04/06 21:24| 02 | 071| 016| 0532| 0063| 0466| 0651|    
  0032|2025/04/06 19:48| 01 | 210| 010| 1005| 0459| 0672| 1838|    
  0031|2025/04/06 18:48| 02 | 059| 024| 0644| 0203| 0309| 1057|    
  0030|2025/04/06 06:48| 01 | 337| 016| 0286| 0098| 0112| 0425|    
  0029|2025/04/06 05:36| 00 | 108| 006| 0644| 0609| 0204| 1602|    
  0028|2025/04/06 03:48| 01 | 103| 008| 0548| 0074| 0422| 0578|    
  0027|2025/04/06 03:36| 04 | 018| 054| 0589| 0181| 0214| 0801|    
  0026|2025/04/06 02:12| 01 | 048| 006| 0320| 0025| 0279| 0349|    
  0025|2025/04/05 19:12| 02 | 059| 008| 0343| 0090| 0318| 0512|    
  0024|2025/04/05 16:12| 02 | 239| 016| 0844| 0302| 0286| 1041|    
  0023|2025/04/05 14:48| 01 | 189| 012| 0624| 0520| 0309| 1736|    
  0022|2025/04/05 14:48| 01 | 201| 008| 0341| 0094| 0188| 0428|    
  0021|2025/04/05 11:48| 03 | 018| 050| 0206| 0034| 0132| 0264|    
