:Issued: Mon Sep  2 02:06:50 2024
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2024/07/31  00:00:07.489 23990923.fts
  last  c2: 2024/09/01  23:37:17.563 23994937.fts
  first c3: 2024/07/31  04:42:07.388 33812468.fts
  last  c3: 2024/09/01  23:42:10.795 33816190.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0152|2024/08/31 00:24| 03 | 286| 058| 0290| 0012| 0249| 0297|    
  0151|2024/08/30 23:06| 02 | 050| 026| 0290| 0004| 0281| 0297|    
  0150|2024/08/30 13:37| 01 | 084| 010| 0438| 0042| 0368| 0481|    
  0149|2024/08/29 14:00| 01 | 049| 012| 0560| 0009| 0548| 0568|    
  0148|2024/08/28 17:48| 04 | 115| 052| 0259| 0112| 0145| 0611|    
  0147|2024/08/28 14:36| 04 | 302| 026| 0140| 0032| 0114| 0216|    
  0146|2024/08/28 14:21| 04 | 340| 026| 0118| 0010| 0102| 0138|    
  0145|2024/08/28 04:12| 06 | 073| 136| 0644| 0216| 0233| 1201|  II
  0144|2024/08/28 02:24| 01 | 083| 016| 0236| 0086| 0164| 0405|    
  0143|2024/08/27 02:48| 01 | 214| 006| 0567| 0074| 0440| 0589|    
  0142|2024/08/27 01:25| 01 | 206| 010| 0489| 0291| 0276| 1122|    
  0141|2024/08/26 18:12| 01 | 136| 006| 0244| 0003| 0240| 0249|    
  0140|2024/08/26 15:24| 02 | 200| 018| 0458| 0149| 0343| 0791|    
  0139|2024/08/26 13:36| 06 | 230| 042| 0255| 0027| 0206| 0317|    
  0138|2024/08/26 12:00| 03 | 150| 006| 0464| 0153| 0413| 0759|    
  0137|2024/08/26 09:24| 08 | 173| 052| 0318| 0098| 0152| 0473|    
  0136|2024/08/26 04:24| 02 | 096| 014| 0235| 0020| 0213| 0271|    
  0135|2024/08/26 03:36| 01 | 087| 016| 0190| 0064| 0110| 0294|    
  0134|2024/08/25 13:25| 02 | 129| 012| 0124| 0016| 0109| 0151|    
  0133|2024/08/25 12:36| 02 | 196| 006| 0119| 0031| 0110| 0181|    
  0132|2024/08/25 09:24| 01 | 134| 014| 0133| 0027| 0118| 0191|    
  0131|2024/08/25 05:00| 02 | 028| 074| 0315| 0051| 0188| 0413|    
  0130|2024/08/24 23:24| 02 | 277| 032| 0250| 0195| 0203| 0679|    
  0129|2024/08/24 21:24| 02 | 075| 028| 0488| 0039| 0473| 0584|    
  0128|2024/08/24 18:48| 02 | 015| 116| 0259| 0055| 0152| 0411|  II
  0127|2024/08/23 09:36| 00 | 342| 014| 0381| 0078| 0199| 0440|    
  0126|2024/08/23 07:24| 02 | 359| 036| 0440| 0111| 0238| 0651|    
  0125|2024/08/23 07:12| 01 | 346| 010| 0297| 0071| 0196| 0381|    
  0124|2024/08/23 02:00| 02 | 276| 066| 0338| 0069| 0187| 0508|    
  0123|2024/08/22 19:12| 01 | 083| 008| 0844| 0583| 0271| 1644|    
  0122|2024/08/22 18:36| 02 | 172| 006| 0762| 0372| 0400| 1358|    
  0121|2024/08/22 15:37| 04 | 353| 112| 0291| 0149| 0144| 0856|  II
  0120|2024/08/22 12:00| 01 | 058| 010| 1120| 0328| 0637| 1565|    
  0119|2024/08/22 08:36| 01 | 098| 014| 0241| 0039| 0205| 0306|    
  0118|2024/08/22 08:36| 05 | 187| 288| 1644| 0778| 0176| 1953|  IV
  0117|2024/08/22 06:48| 01 | 326| 098| 0414| 0051| 0336| 0568|  II
  0116|2024/08/21 23:12| 01 | 331| 020| 0195| 0000| 0195| 0196|    
  0115|2024/08/21 20:00| 03 | 039| 028| 0238| 0069| 0121| 0400|    
  0114|2024/08/21 19:24| 01 | 324| 022| 0363| 0240| 0240| 0919|    
  0113|2024/08/21 19:00| 02 | 083| 012| 0326| 0162| 0215| 0624|    
  0112|2024/08/21 15:05| 01 | 332| 026| 0224| 0030| 0192| 0284|    
  0111|2024/08/21 05:48| 01 | 327| 028| 0256| 0022| 0204| 0279|    
  0110|2024/08/21 04:48| 02 | 088| 022| 0312| 0062| 0169| 0372|    
  0109|2024/08/21 03:12| 02 | 257| 020| 0370| 0165| 0231| 0762|    
  0108|2024/08/20 23:36| 01 | 260| 010| 0471| 0221| 0212| 0822|    
  0107|2024/08/20 22:24| 00 | 299| 008| 0440| 0152| 0428| 0744|    
