:Issued: Thu Jan  2 02:13:36 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2024/11/30  00:00:07.591 23825518.fts
  last  c2: 2025/01/01  23:48:07.474 23829172.fts
  first c3: 2024/11/30  00:18:07.478 33825700.fts
  last  c3: 2025/01/01  23:54:07.470 33829314.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0213|2024/12/31 17:24| 02 | 059| 016| 0361| 0726| 0164| 1644|    
  0212|2024/12/31 17:00| 02 | 218| 006| 0384| 0066| 0315| 0496|    
  0211|2024/12/31 16:48| 03 | 291| 024| 0437| 0222| 0170| 0919|    
  0210|2024/12/31 13:48| 02 | 129| 016| 0744| 0349| 0405| 1562|    
  0209|2024/12/31 12:48| 02 | 295| 016| 0481| 0236| 0164| 0803|    
  0208|2024/12/31 11:24| 05 | 023| 040| 0226| 0042| 0163| 0339|    
  0207|2024/12/30 23:24| 01 | 126| 010| 0201| 0036| 0128| 0221|    
  0206|2024/12/30 17:36| 04 | 359| 016| 0185| 0007| 0171| 0197|    
  0205|2024/12/30 16:00| 04 | 010| 014| 0171| 0028| 0131| 0218|    
  0204|2024/12/30 10:36| 01 | 214| 018| 0451| 0083| 0395| 0612|    
  0203|2024/12/30 05:00| 03 | 316| 086| 0322| 0047| 0234| 0466|    
  0202|2024/12/30 00:12| 04 | 218| 062| 0165| 0035| 0101| 0254|    
  0201|2024/12/30 00:00| 06 | 225| 052| 0139| 0018| 0100| 0178|    
  0200|2024/12/29 18:12| 01 | 216| 018| 0568| 0107| 0440| 0726|    
  0199|2024/12/29 18:12| 02 | 345| 028| 0451| 0067| 0351| 0600|    
  0198|2024/12/29 17:36| 01 | 182| 014| 0579| 0054| 0469| 0624|    
  0197|2024/12/29 17:12| 01 | 267| 012| 0400| 0056| 0343| 0512|    
  0196|2024/12/29 11:24| 01 | 123| 024| 0801| 0289| 0355| 1329|    
  0195|2024/12/29 11:24| 01 | 126| 018| 0323| 0104| 0216| 0520|    
  0194|2024/12/29 09:12| 01 | 316| 058| 0337| 0065| 0205| 0440|    
  0193|2024/12/29 06:48| 00 | 172| 014| 0411| 0019| 0381| 0440|    
  0192|2024/12/29 06:24| 02 | 215| 056| 0252| 0061| 0181| 0413|    
  0191|2024/12/29 06:24| 01 | 001| 012| 0246| 0026| 0233| 0303|    
  0190|2024/12/29 06:12| 01 | 164| 118| 0735| 0054| 0612| 0864|  II
  0189|2024/12/29 05:48| 01 | 067| 024| 0443| 0020| 0411| 0480|    
  0188|2024/12/29 03:24| 02 | 083| 008| 0313| 0047| 0258| 0390|    
  0187|2024/12/28 20:12| 01 | 201| 008| 0476| 0030| 0440| 0512|    
