:Issued: Sun Mar  2 02:03:57 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/01/31  00:00:09.109 23832247.fts
  last  c2: 2025/03/01  23:48:08.276 23835523.fts
  first c3: 2025/01/31  06:18:07.440 33832617.fts
  last  c3: 2025/03/01  21:54:07.450 33823509.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0144|2025/02/28 19:12| 01 | 158| 014| 1812| 0839| 0336| 1952|    
  0143|2025/02/28 18:00| 00 | 037| 012| 0459| 0168| 0182| 0625|    
  0142|2025/02/28 17:24| 01 | 224| 062| 0304| 0095| 0106| 0452|    
  0141|2025/02/28 17:12| 01 | 276| 146| 1157| 0241| 0624| 1615|  II
  0140|2025/02/28 02:24| 01 | 023| 028| 0208| 0037| 0160| 0281|    
  0139|2025/02/27 22:00| 04 | 038| 026| 0154| 0058| 0103| 0299|    
  0138|2025/02/27 19:12| 04 | 042| 050| 0241| 0081| 0158| 0434|    
  0137|2025/02/27 11:48| 01 | 266| 006| 0328| 0050| 0244| 0367|    
  0136|2025/02/27 11:24| 03 | 220| 050| 0431| 0117| 0198| 0724|    
  0135|2025/02/27 00:00| 02 | 250| 018| 0377| 0087| 0258| 0568|    
  0134|2025/02/26 22:36| 01 | 297| 016| 0170| 0052| 0110| 0269|    
  0133|2025/02/26 20:36| 04 | 224| 022| 0211| 0061| 0182| 0363|    
  0132|2025/02/26 18:48| 01 | 119| 024| 0378| 0034| 0336| 0466|    
  0131|2025/02/26 16:36| 01 | 071| 024| 0274| 0060| 0200| 0403|    
  0130|2025/02/26 16:24| 03 | 116| 050| 0506| 0159| 0336| 0932|    
  0129|2025/02/26 14:12| 03 | 222| 066| 0587| 0178| 0297| 0844|    
  0128|2025/02/26 06:36| 04 | 043| 028| 0568| 0559| 0133| 1644|    
  0127|2025/02/26 06:24| 02 | 269| 036| 0901| 0234| 0395| 1201|    
  0126|2025/02/26 05:36| 01 | 247| 020| 0473| 0113| 0220| 0548|    
  0125|2025/02/26 02:36| 02 | 030| 050| 0308| 0056| 0206| 0446|    
  0124|2025/02/25 16:48| 01 | 268| 030| 0452| 0140| 0285| 0781|    
  0123|2025/02/25 16:00| 03 | 322| 026| 1035| 0552| 0318| 2016|    
  0122|2025/02/25 02:48| 05 | 222| 038| 0429| 0243| 0101| 0801|    
  0121|2025/02/24 22:12| 01 | 241| 032| 0992| 0530| 0286| 1736|    
  0120|2025/02/24 21:12| 01 | 170| 006| 0451| 0175| 0332| 0781|    
  0119|2025/02/24 21:12| 03 | 356| 338| 1454| 0568| 0343| 1953|  IV
  0118|2025/02/24 19:48| 01 | 236| 026| 0279| 0118| 0226| 0612|    
  0117|2025/02/24 11:00| 01 | 246| 022| 0414| 0118| 0251| 0664|    
  0116|2025/02/24 06:24| 01 | 237| 036| 0992| 0386| 0281| 1644|    
  0115|2025/02/24 05:24| 04 | 293| 088| 0694| 0497| 0223| 1736|    
  0114|2025/02/24 02:12| 01 | 131| 012| 0496| 0004| 0496| 0504|    
  0113|2025/02/23 20:24| 02 | 247| 044| 0602| 0204| 0292| 0919|    
  0112|2025/02/23 19:48| 02 | 315| 084| 0892| 0428| 0306| 1838|    
  0111|2025/02/23 13:48| 01 | 109| 012| 0920| 0375| 0361| 1358|    
  0110|2025/02/23 05:24| 01 | 052| 022| 0295| 0127| 0098| 0520|    
  0109|2025/02/23 05:24| 01 | 081| 048| 0309| 0105| 0199| 0612|    
  0108|2025/02/23 02:36| 02 | 311| 060| 0512| 0125| 0264| 0791|    
  0107|2025/02/22 23:00| 00 | 221| 020| 0374| 0057| 0256| 0446|    
  0106|2025/02/22 22:12| 01 | 239| 020| 0166| 0030| 0135| 0226|    
  0105|2025/02/22 22:12| 02 | 245| 036| 0284| 0056| 0221| 0419|    
  0104|2025/02/22 21:36| 01 | 309| 024| 0297| 0050| 0228| 0411|    
  0103|2025/02/22 11:00| 02 | 342| 022| 0237| 0026| 0201| 0284|    
  0102|2025/02/22 08:00| 01 | 087| 044| 0365| 0135| 0123| 0568|    
  0101|2025/02/22 05:24| 01 | 313| 016| 0328| 0058| 0255| 0434|    
  0100|2025/02/22 05:00| 05 | 092| 022| 0718| 0418| 0217| 1736|    
  0099|2025/02/22 03:24| 03 | 313| 028| 0361| 0211| 0107| 0801|    
  0098|2025/02/21 22:24| 02 | 306| 018| 0781| 0162| 0437| 1000|    
  0097|2025/02/21 21:24| 03 | 014| 082| 0271| 0056| 0140| 0390|    
  0096|2025/02/21 16:36| 01 | 115| 016| 0452| 0231| 0130| 0844|    
  0095|2025/02/21 13:25| 01 | 223| 008| 0473| 0088| 0398| 0639|    
  0094|2025/02/21 09:24| 09 | 288| 102| 0504| 0227| 0201| 1236|  II
  0093|2025/02/21 07:48| 04 | 209| 028| 0452| 0144| 0125| 0589|    
  0092|2025/02/21 01:48| 03 | 002| 062| 0309| 0061| 0202| 0428|    
  0091|2025/02/20 21:00| 01 | 187| 008| 0410| 0121| 0400| 0613|    
  0090|2025/02/20 21:00| 01 | 036| 014| 0459| 0750| 0343| 1953|    
  0089|2025/02/20 19:24| 01 | 111| 012| 0585| 0202| 0207| 0892|    
  0088|2025/02/20 12:48| 02 | 041| 032| 0625| 0540| 0269| 1778|    
  0087|2025/02/20 10:12| 01 | 094| 066| 0538| 0070| 0339| 0694|    
  0086|2025/02/20 08:00| 03 | 191| 024| 0278| 0065| 0176| 0336|    
  0085|2025/02/20 07:48| 01 | 206| 022| 0293| 0079| 0166| 0428|    
  0084|2025/02/20 06:00| 01 | 040| 010| 1589| 0442| 0710| 1952|    
  0083|2025/02/20 05:36| 01 | 163| 024| 0637| 0414| 0118| 1487|    
  0082|2025/02/20 01:48| 01 | 065| 008| 0205| 0003| 0199| 0208|    
  0081|2025/02/20 00:36| 02 | 050| 026| 0234| 0118| 0200| 0558|    
  0080|2025/02/19 23:48| 01 | 262| 034| 0528| 0152| 0347| 0919|    
  0079|2025/02/19 23:48| 02 | 229| 084| 0326| 0078| 0151| 0496|    
  0078|2025/02/19 20:24| 01 | 212| 018| 1644| 0132| 1524| 1838|    
  0077|2025/02/19 19:12| 02 | 019| 100| 0844| 0184| 0459| 1157|  II
  0076|2025/02/19 07:12| 01 | 238| 034| 0368| 0054| 0318| 0512|    
  0075|2025/02/18 20:24| 02 | 171| 012| 0446| 0022| 0434| 0488|    
  0074|2025/02/16 21:12| 01 | 099| 008| 0226| 0041| 0220| 0294|    
  0073|2025/02/16 19:24| 01 | 130| 010| 0976| 0037| 0976| 1041|    
  0072|2025/02/16 12:00| 01 | 299| 040| 0381| 0081| 0170| 0520|    
  0071|2025/02/16 10:00| 01 | 346| 014| 0211| 0022| 0180| 0246|    
  0070|2025/02/16 09:12| 01 | 171| 012| 0351| 0057| 0292| 0446|    
  0069|2025/02/15 23:36| 01 | 209| 036| 0332| 0111| 0200| 0606|    
  0068|2025/02/15 20:36| 01 | 309| 024| 0665| 0180| 0325| 0868|    
  0067|2025/02/15 14:48| 01 | 301| 044| 1893| 0140| 1524| 1893|    
