:Issued: Sun Feb  2 02:09:19 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2024/12/31  00:00:08.814 23828954.fts
  last  c2: 2025/02/01  20:36:07.404 23832449.fts
  first c3: 2024/12/31  01:54:07.433 33829094.fts
  last  c3: 2025/02/01  17:30:07.437 33832766.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0173|2025/01/31 23:24| 01 | 249| 032| 0251| 0087| 0188| 0442|    
  0172|2025/01/31 17:00| 00 | 235| 008| 0381| 0039| 0323| 0437|    
  0171|2025/01/31 17:00| 01 | 279| 008| 0219| 0029| 0172| 0254|    
  0170|2025/01/31 14:24| 03 | 047| 048| 0299| 0092| 0151| 0538|    
  0169|2025/01/31 14:24| 02 | 079| 112| 0294| 0069| 0178| 0446|  II
  0168|2025/01/31 01:25| 03 | 076| 014| 0153| 0029| 0100| 0170|    
  0167|2025/01/30 18:36| 01 | 046| 014| 0243| 0036| 0199| 0312|    
  0166|2025/01/30 18:24| 01 | 265| 016| 0100| 0002| 0098| 0104|    
  0165|2025/01/30 16:24| 02 | 073| 016| 0180| 0071| 0115| 0322|    
  0164|2025/01/30 16:00| 04 | 104| 134| 0301| 0112| 0100| 0554|  II
  0163|2025/01/30 11:12| 01 | 235| 056| 0801| 0021| 0762| 0868|    
  0162|2025/01/29 23:24| 01 | 256| 026| 0207| 0018| 0172| 0238|    
  0161|2025/01/29 18:48| 01 | 235| 052| 0411| 0002| 0405| 0411|    
  0160|2025/01/29 16:34| 01 | 237| 032| 0221| 0028| 0176| 0269|    
  0159|2025/01/29 05:00| 01 | 242| 026| 0291| 0065| 0211| 0409|    
  0158|2025/01/28 23:36| 01 | 172| 006| 0253| 0105| 0162| 0425|    
  0157|2025/01/28 20:36| 03 | 099| 012| 0100| 0003| 0099| 0107|    
  0156|2025/01/28 19:48| 03 | 093| 060| 0376| 0555| 0101| 1736|    
  0155|2025/01/28 17:48| 02 | 040| 042| 0312| 0128| 0100| 0466|    
  0154|2025/01/28 15:48| 02 | 070| 030| 0097| 0001| 0097| 0101|    
  0153|2025/01/28 15:12| 01 | 036| 010| 0098| 0002| 0097| 0102|    
  0152|2025/01/28 13:48| 01 | 019| 036| 0244| 0026| 0200| 0288|    
  0151|2025/01/28 13:48| 03 | 072| 030| 0097| 0006| 0096| 0112|    
  0150|2025/01/28 10:00| 02 | 012| 014| 0118| 0067| 0101| 0240|    
  0149|2025/01/28 08:24| 01 | 239| 056| 0313| 0048| 0234| 0411|    
  0148|2025/01/28 01:25| 01 | 327| 024| 0226| 0030| 0156| 0242|    
