:Issued: Fri Jun 20 01:51:41 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/05/31  00:00:08.434 23845810.fts
  last  c2: 2025/06/20  00:12:07.443 23848099.fts
  first c3: 2025/05/31  03:30:07.484 33833840.fts
  last  c3: 2025/06/19  19:42:07.436 33836157.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0102|2025/06/19 14:12| 04 | 111| 044| 0355| 0009| 0347| 0376|    
  0101|2025/06/19 11:24| 01 | 314| 018| 0812| 0346| 0296| 1358|    
  0100|2025/06/19 02:36| 01 | 235| 036| 0452| 0059| 0355| 0521|    
  0099|2025/06/18 23:24| 01 | 299| 016| 0422| 0051| 0332| 0496|    
  0098|2025/06/18 19:36| 01 | 353| 008| 0500| 0244| 0385| 0976|    
  0097|2025/06/18 06:36| 01 | 145| 024| 1420| 0563| 0525| 1953|    
  0096|2025/06/18 06:36| 01 | 011| 032| 1356| 0671| 0217| 1953|    
  0095|2025/06/18 05:00| 02 | 235| 020| 0469| 0564| 0188| 1838|    
  0094|2025/06/18 05:00| 03 | 272| 130| 0411| 0182| 0183| 0892|  II
  0093|2025/06/17 23:12| 02 | 277| 064| 0267| 0085| 0068| 0473|    
  0092|2025/06/17 16:24| 02 | 107| 036| 0496| 0433| 0180| 1562|    
  0091|2025/06/17 14:24| 01 | 268| 018| 0386| 0078| 0242| 0529|    
  0090|2025/06/17 14:24| 03 | 098| 026| 0250| 0060| 0147| 0357|    
  0089|2025/06/17 09:12| 03 | 101| 052| 0309| 0288| 0056| 1008|    
  0088|2025/06/17 08:00| 01 | 016| 022| 0679| 0066| 0589| 0814|    
  0087|2025/06/17 07:00| 03 | 094| 058| 0388| 0486| 0150| 1644|    
  0086|2025/06/17 02:12| 01 | 294| 006| 0959| 0723| 0218| 1735|    
  0085|2025/06/17 00:48| 05 | 077| 128| 0374| 0262| 0192| 1116|  II
  0084|2025/06/16 19:48| 01 | 308| 010| 0260| 0019| 0233| 0286|    
  0083|2025/06/16 12:12| 02 | 333| 016| 0592| 0817| 0136| 1953|    
  0082|2025/06/16 09:00| 02 | 359| 048| 0719| 0308| 0209| 1562|    
  0081|2025/06/16 07:12| 03 | 316| 074| 0359| 0076| 0229| 0558|    
