:Issued: Wed Apr  2 02:12:12 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/02/28  00:00:07.418 23835288.fts
  last  c2: 2025/04/01  22:00:07.458 23838944.fts
  first c3: 2025/02/28  01:54:07.445 33823300.fts
  last  c3: 2025/04/01  22:06:07.455 33827031.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0162|2025/03/31 20:36| 01 | 317| 012| 0254| 0037| 0208| 0309|    
  0161|2025/03/31 12:12| 01 | 321| 020| 0172| 0022| 0143| 0209|    
  0160|2025/03/31 09:24| 01 | 040| 010| 0433| 0048| 0347| 0488|    
  0159|2025/03/31 07:36| 03 | 091| 008| 0181| 0031| 0128| 0205|    
  0158|2025/03/31 07:00| 04 | 086| 014| 0128| 0021| 0121| 0177|    
  0157|2025/03/31 05:12| 01 | 049| 012| 0277| 0019| 0253| 0309|    
  0156|2025/03/30 23:00| 02 | 120| 026| 0606| 0240| 0315| 1136|    
  0155|2025/03/30 08:36| 04 | 313| 080| 0694| 0380| 0161| 1302|    
  0154|2025/03/30 04:36| 01 | 161| 016| 0372| 0636| 0264| 1785|    
  0153|2025/03/30 02:12| 02 | 055| 012| 0148| 0024| 0147| 0189|    
  0152|2025/03/30 01:36| 01 | 303| 008| 1077| 0336| 0679| 1562|    
  0151|2025/03/29 23:12| 02 | 094| 014| 0997| 0535| 0694| 1953|    
  0150|2025/03/29 23:12| 02 | 167| 008| 0437| 0181| 0223| 0664|    
  0149|2025/03/29 23:12| 01 | 106| 034| 0781| 0409| 0306| 1488|    
  0148|2025/03/29 19:24| 01 | 115| 008| 0399| 0015| 0381| 0422|    
  0147|2025/03/29 12:48| 02 | 301| 056| 0425| 0183| 0271| 0825|    
  0146|2025/03/29 05:36| 01 | 079| 008| 0502| 0152| 0248| 0651|    
  0145|2025/03/29 05:36| 04 | 108| 030| 0746| 0356| 0347| 1488|    
  0144|2025/03/29 01:48| 02 | 008| 006| 0396| 0096| 0257| 0496|    
  0143|2025/03/29 01:36| 01 | 076| 018| 0466| 0177| 0244| 0868|    
  0142|2025/03/29 01:36| 01 | 118| 014| 0311| 0233| 0161| 0764|    
  0141|2025/03/28 16:48| 02 | 069| 016| 0466| 0139| 0372| 0801|    
  0140|2025/03/28 15:24| 09 | 144| 360| 1644| 0556| 0328| 1953|  IV
