:Issued: Mon Jun  2 02:07:14 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2025/04/30  00:00:07.529 23842271.fts
  last  c2: 2025/06/01  23:48:07.491 23846041.fts
  first c3: 2025/04/30  01:30:07.464 33830339.fts
  last  c3: 2025/06/01  23:42:07.896 33834087.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0164|2025/05/31 21:36| 01 | 084| 022| 0224| 0015| 0194| 0244|    
  0163|2025/05/31 11:12| 00 | 099| 012| 1488| 0043| 1420| 1488|    
  0162|2025/05/31 03:24| 00 | 080| 014| 0488| 0075| 0405| 0600|    
  0161|2025/05/31 03:12| 01 | 074| 022| 0345| 0038| 0274| 0422|    
  0160|2025/05/31 01:36| 01 | 005| 012| 1207| 0283| 0892| 1654|    
  0159|2025/05/31 00:36| 01 | 167| 012| 0416| 0520| 0192| 1644|    
  0158|2025/05/31 00:12| 01 | 064| 010| 0367| 0328| 0147| 0961|    
  0157|2025/05/31 00:12| 01 | 102| 018| 0801| 0285| 0234| 1041|    
  0156|2025/05/31 00:12| 00 | 045| 016| 0947| 0022| 0919| 0992|    
  0155|2025/05/31 00:12| 01 | 340| 086| 0919| 0384| 0256| 1524|    
  0154|2025/05/31 00:00| 01 | 326| 030| 0349| 0737| 0124| 1953|    
  0153|2025/05/30 23:48| 05 | 188| 230| 0822| 0647| 0206| 1967| III
  0152|2025/05/30 15:00| 03 | 026| 010| 0172| 0033| 0119| 0212|    
  0151|2025/05/30 11:36| 01 | 053| 028| 0308| 0107| 0111| 0411|    
  0150|2025/05/30 10:36| 01 | 261| 012| 0467| 0076| 0347| 0578|    
  0149|2025/05/30 07:48| 01 | 280| 014| 0663| 0222| 0378| 1179|    
  0148|2025/05/30 07:12| 08 | 107| 132| 0197| 0133| 0100| 0568|  II
  0147|2025/05/30 05:00| 01 | 302| 018| 0147| 0162| 0103| 0505|    
  0146|2025/05/30 00:12| 01 | 312| 046| 0351| 0078| 0233| 0477|    
  0145|2025/05/30 00:00| 02 | 310| 014| 1136| 0237| 0589| 1257|    
  0144|2025/05/28 07:00| 03 | 278| 022| 1041| 0544| 0244| 1562|    
  0143|2025/05/28 01:36| 04 | 284| 054| 1225| 0501| 0341| 2016|    
  0142|2025/05/27 14:00| 00 | 222| 006| 0577| 0269| 0524| 1113|    
  0141|2025/05/27 09:24| 02 | 053| 048| 0263| 0062| 0191| 0416|    
  0140|2025/05/27 09:24| 02 | 101| 016| 0260| 0050| 0208| 0343|    
  0139|2025/05/27 08:12| 01 | 070| 074| 0222| 0040| 0146| 0306|    
