:Issued: Mon Dec  2 02:09:02 2024
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2024/10/31  03:00:07.432 23822244.fts
  last  c2: 2024/12/01  23:12:07.474 23825736.fts
  first c3: 2024/10/31  02:54:07.437 33822430.fts
  last  c3: 2024/12/01  22:54:10.687 33825915.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0162|2024/11/30 13:36| 01 | 198| 026| 0383| 0315| 0168| 1116|    
  0161|2024/11/30 05:24| 01 | 199| 016| 0512| 0068| 0416| 0651|    
  0160|2024/11/30 03:12| 02 | 123| 032| 0200| 0027| 0172| 0254|    
  0159|2024/11/29 18:24| 01 | 051| 020| 0841| 0555| 0105| 1838|    
  0158|2024/11/29 18:12| 02 | 119| 044| 1006| 0514| 0459| 1953|    
  0157|2024/11/29 18:12| 03 | 277| 104| 1488| 0630| 0194| 1953|  II
  0156|2024/11/29 17:24| 01 | 040| 010| 0265| 0152| 0105| 0520|    
  0155|2024/11/29 17:12| 00 | 176| 010| 0227| 0026| 0207| 0280|    
  0154|2024/11/29 17:00| 01 | 251| 008| 1201| 0500| 0411| 1562|    
  0153|2024/11/29 13:48| 05 | 197| 064| 0284| 0072| 0188| 0440|    
  0152|2024/11/29 12:12| 06 | 004| 070| 0150| 0027| 0103| 0220|    
  0151|2024/11/28 21:12| 01 | 299| 008| 0446| 0098| 0359| 0625|    
  0150|2024/11/28 03:36| 01 | 199| 016| 0286| 0032| 0243| 0339|    
  0149|2024/11/27 19:24| 00 | 097| 012| 0589| 0074| 0568| 0726|    
