:Issued: Sat Nov  2 01:49:50 2024
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2024/09/30  00:00:07.403 23998248.fts
  last  c2: 2024/11/01  23:48:07.703 23822327.fts
  first c3: 2024/09/30  01:54:07.421 33819279.fts
  last  c3: 2024/11/01  23:06:15.033 33822512.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0115|2024/10/31 09:36| 01 | 337| 048| 0595| 0072| 0477| 0744|    
  0114|2024/10/31 09:24| 00 | 112| 022| 0314| 0657| 0224| 1420|    
  0113|2024/10/30 20:24| 01 | 098| 010| 0623| 0175| 0473| 0919|    
  0112|2024/10/30 03:48| 04 | 178| 054| 0382| 0273| 0255| 1250|    
  0111|2024/10/28 11:48| 05 | 285| 044| 0198| 0012| 0173| 0212|    
  0110|2024/10/28 11:24| 04 | 123| 028| 0197| 0008| 0176| 0208|    
  0109|2024/10/26 10:36| 01 | 108| 022| 0254| 0162| 0247| 0525|    
  0108|2024/10/26 06:48| 04 | 354| 350| 1041| 0566| 0149| 1953|  IV
  0107|2024/10/26 04:24| 00 | 091| 012| 0791| 0280| 0345| 1201|    
  0106|2024/10/25 17:00| 01 | 284| 010| 0512| 0035| 0440| 0534|    
  0105|2024/10/25 15:48| 00 | 129| 016| 0310| 0166| 0103| 0584|    
  0104|2024/10/25 15:24| 02 | 240| 038| 0103| 0000| 0102| 0104|    
  0103|2024/10/25 07:24| 02 | 081| 016| 1157| 0287| 0548| 1488|    
  0102|2024/10/24 18:00| 01 | 082| 006| 0780| 0187| 0631| 1116|    
  0101|2024/10/24 11:00| 01 | 125| 016| 0705| 0431| 0211| 1179|    
  0100|2024/10/24 08:00| 01 | 133| 016| 0637| 0541| 0153| 1644|    
  0099|2024/10/24 04:48| 01 | 345| 012| 0374| 0095| 0214| 0477|    
  0098|2024/10/24 04:48| 01 | 328| 034| 0540| 0085| 0395| 0651|    
  0097|2024/10/24 04:24| 02 | 017| 036| 0612| 0232| 0279| 1157|    
  0096|2024/10/24 04:00| 01 | 064| 030| 1115| 0241| 0726| 1562|    
  0095|2024/10/24 03:48| 06 | 176| 222| 0844| 0401| 0117| 1785| III
  0094|2024/10/23 16:12| 00 | 087| 008| 0529| 0186| 0303| 0791|    
