:Issued: Wed Oct  2 02:05:20 2024
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 6 | Minimal CME width: 5
# 
  first c2: 2024/08/31  00:24:07.382 23994852.fts
  last  c2: 2024/10/01  23:36:07.485 23998439.fts
  first c3: 2024/08/31  12:19:25.473 33816054.fts
  last  c3: 2024/10/01  10:42:07.440 33819444.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 
# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0127|2024/09/30 23:24| 02 | 245| 012| 0801| 0140| 0600| 0951|    
  0126|2024/09/30 20:48| 02 | 322| 018| 0274| 0786| 0127| 1838|    
  0125|2024/09/30 16:48| 01 | 326| 010| 0716| 0115| 0548| 0918|    
  0124|2024/09/30 16:12| 01 | 272| 022| 1369| 0416| 0961| 1953|    
  0123|2024/09/30 16:12| 01 | 252| 026| 1250| 0089| 1077| 1302|    
  0122|2024/09/30 14:12| 02 | 176| 058| 0367| 0080| 0205| 0538|    
  0121|2024/09/30 10:48| 02 | 077| 012| 0631| 0127| 0427| 0781|    
  0120|2024/09/30 05:12| 02 | 229| 044| 0385| 0106| 0187| 0529|    
  0119|2024/09/30 05:00| 02 | 078| 026| 0391| 0087| 0211| 0413|    
  0118|2024/09/30 05:00| 01 | 298| 050| 1736| 0167| 1275| 1953|    
  0117|2024/09/30 03:12| 02 | 073| 080| 0568| 0091| 0376| 0771|    
  0116|2024/09/29 23:24| 00 | 230| 014| 0247| 0042| 0192| 0328|    
  0115|2024/09/29 18:12| 00 | 291| 016| 0303| 0029| 0264| 0349|    
  0114|2024/09/29 11:00| 01 | 035| 008| 0304| 0001| 0303| 0307|    
  0113|2024/09/29 10:24| 01 | 216| 022| 1845| 0159| 1562| 1953|    
  0112|2024/09/29 08:24| 03 | 058| 118| 0473| 0069| 0303| 0600|  II
  0111|2024/09/29 05:48| 02 | 243| 044| 1116| 0495| 0349| 1953|    
  0110|2024/09/28 14:00| 01 | 080| 018| 0238| 0017| 0209| 0264|    
  0109|2024/09/28 10:36| 01 | 233| 012| 0202| 0030| 0192| 0260|    
  0108|2024/09/27 09:12| 02 | 084| 058| 0405| 0101| 0250| 0613|    
  0107|2024/09/27 04:49| 01 | 190| 010| 0159| 0021| 0130| 0189|    
  0106|2024/09/26 22:12| 06 | 128| 086| 0137| 0099| 0102| 0440|    
  0105|2024/09/26 13:25| 01 | 178| 006| 0333| 0764| 0240| 1854|    
